id;first_name;last_name;email;phone_number;salary;commission_pct
1;Hugo;Cruz;Mrcia52@mail.pt;synthesize compressing;65355;77851
2;Luena;Pinho;gor30@aeiou.pt;plug-and-play envisioneer Metrics;59415;36278
3;Mariana;Teixeira;Afonso_Jesus@hotmail.com;Artesanal iterate PNG;2463;60726
4;Raquel;Ribeiro;ris_Leal0@hotmail.com;superstructure Security quantify;27969;91497
5;Olívia;Henriques;Luna.Loureno22@outlook.com;Algodão;7367;69966
6;Mauro;Raposo;Carlota36@portugalmail.pt;connect Ergonómico;49196;1397
7;Bruna;Paiva;Antnio90@outlook.com;Multi-layered Hryvnia;29430;22176
8;Fernando;Anjos;Flor.Leite@sapo.pt;haptic;464;44804
9;Teresa;Leal;Simo22@aeiou.pt;bandwidth Wisconsin;80313;82686
10;Eduardo;Sá;Mrcia36@hotmail.com;Pequeno;68879;3277
